VarName,LowIndex,HighIndex
SYS 3 HEAT PUMP AIR SOURCE COOLING COIL:Cooling Coil Sensible Cooling Rate [W](Hourly),0,49
SYS 3 HEAT PUMP AIR SOURCE COOLING COIL:Cooling Coil Electric Power [W](Hourly),0,49
SYS 3 HEAT PUMP AIR SOURCE COOLING COIL:Cooling Coil Runtime Fraction [](Hourly),0,49
SYS 4 HEAT PUMP AIR SOURCE COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),0,49
SYS 4 HEAT PUMP AIR SOURCE COOLING COIL:Cooling Coil Sensible Cooling Rate [W](Hourly),0,49
SYS 4 HEAT PUMP AIR SOURCE COOLING COIL:Cooling Coil Electric Power [W](Hourly),0,49
SYS 4 HEAT PUMP AIR SOURCE COOLING COIL:Cooling Coil Runtime Fraction [](Hourly),0,49
SYS 5 FURNACE DX COOL COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),0,49
SYS 5 FURNACE DX COOL COOLING COIL:Cooling Coil Sensible Cooling Rate [W](Hourly),0,49
SYS 5 FURNACE DX COOL COOLING COIL:Cooling Coil Electric Power [W](Hourly),0,49
SYS 5 FURNACE DX COOL COOLING COIL:Cooling Coil Runtime Fraction [](Hourly) ,0,49
